target,title,address,imgUrl,description,latitude,longitude,rating,reviews,phone,province,city,website,place_id
coffee,Đi Coffee House,Đối diện 64 Đ. Nam Hồ Phường 11 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipMRif2t626JngbEDasBMVI2HSpcVlwt_69iypUQ=w138-h92-k-no,,11.9498649,108.478771,4.6,23,+84 96 998 93 72,Lâm đồng,Đà lạt,https://sites.google.com/view/dicoffe/%C4%91i-coffe,ChIJSWUgj8gTcTER_Jc_blF7Q0Y
coffee,Milano Coffee,12 Đường Hai Bà Trưng Phường 6 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipPS8o0PnRkVrTyxy_ONJozk3XAr7aoY7xjvF_br=w80-h106-k-no,,11.943838099999999,108.4329751,3.9,71,+84 263 3602 012,Lâm đồng,Đà lạt,,ChIJB4lXBiwTcTER_ndTSJrTPlk
coffee,COFFEE BEAN SAIGON,99 Phan Bội Châu Phường 1 Thành phố Đà Lạt Lâm Đồng Việt Nam,,,11.9438338,108.43866849999999,,,,Lâm đồng,Đà lạt,,ChIJbYk3VfETcTERNdj8lTmtOnA
coffee,Woodstock coffee - Đà Lạt,80 Đ��ờng Bùi Thị Xuân Phường 2 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipMp9Lp8c1lDsN0Eq8tR3WrZhrW44B94y7Pm6n7C=w138-h92-k-no,,11.946639,108.4406813,4.4,1136,+84 93 334 04 03,Lâm đồng,Đà lạt,https://www.facebook.com/woodstockdalat/,ChIJG6SzzicTcTERucIZytNREEo
coffee,Cà Phê 139 (139 Coffee),XC6V+X4J Đường Trần Khánh Dư Phường 8 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipPTZbOoYzvxrVQBBLqw3106siSmu95zj6Cg-6wm=w163-h92-k-no,,11.962466,108.44276149999999,4.3,3,,Lâm đồng,Đà lạt,,ChIJm0wQX60TcTER-BVX37YIYUU
coffee,Xuân Sơn Coffee,67 Đường Mê Linh Phường 9 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipM0tx5k3bEBrfXAq33or5zLazt6wjS94Bgso2RF=w80-h106-k-no,,11.9611471,108.471283,3.9,7,,Lâm đồng,Đà lạt,,ChIJx_i-1-wTcTERfuSdqn7VRiU
coffee,The Dome Coffee & Tea,118 Nguyễn Công Trứ Phường 8 Thành phố Đà Lạt Lâm Đồng 670000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipN0SAAVD3-aoVOnBL3aeNSrQ-SHqq98prlsKB9N=w80-h106-k-no,,11.956531199999999,108.4393279,4.8,54,+84 775 090 123,Lâm đồng,Đà lạt,https://www.facebook.com/thedomecoffee,ChIJV73ox1ETcTEROQ12fXo9Pxs
coffee,Coffee Nắng lạnh,03bis Trần Hưng Đạo Phường 3 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipN3jLzQR2yr-HlzySw-terNusIYV_Voj4Eja1AX=w80-h142-k-no,,11.9369775,108.4435444,4.6,34,+84 93 850 70 79,Lâm đồng,Đà lạt,,ChIJ-9AQ80ITcTERau49aCsM0nc
coffee,Ty Coffee,Hẻm 38 Đ. Trần Phú Phường 4 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipO-X5b8fp6xYVnvochzyFChItMmYY-k5c3J9TAH=w80-h142-k-no,,11.936610199999999,108.4324305,4.4,7,,Lâm đồng,Đà lạt,,ChIJOTB8nZ0TcTERjHbsmlAzkn0
coffee,ATISO COFFEE,11 Đường Nguyễn Trung Trực Phường 3 Thành phố Đà Lạt Lâm Đồng 66000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipMITgS5Llmb6j5pGcMgU2wgwjtr5QzESdbUxgJV=w163-h92-k-no,,11.9302303,108.43269559999999,5,2,+84 90 277 97 47,Lâm đồng,Đà lạt,,ChIJYVBmuzATcTERyYzSWaRFvt4
coffee,Havana Coffee & Cakes,Hẻm 202 Phan Đình Phùng Phường 2 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipP9b46fgc1xFl1EtghfbVgTPDdVjAF523r-KswJ=w122-h92-k-no,,11.9490176,108.43722149999999,4.3,3,+84 93 322 55 59,Lâm đồng,Đà lạt,,ChIJ6VTVq0cTcTEROWxQvIzWp2o
coffee,Milano Coffee House,158 Nguyễn Công Trứ Phường 8 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipMPKyQv7fXgwy8L1AtayJpWii3OvRy1CDde5SpA=w80-h106-k-no,,11.9565979,108.4377727,4,354,+84 328 995 018,Lâm đồng,Đà lạt,,ChIJV5du7tAScTERCqhepEg-GzI
coffee,Ixora Tea Coffee,Phường 3 Tp. Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipMTUFy_zgfwGihebvfYDkG8IsdCinChyvv-d5dO=w80-h107-k-no,,11.928969799999999,108.44823389999999,5,1,,Lâm đồng,Đà lạt,,ChIJ-2ImBz8TcTERWBafVxjfklA
coffee,Nhà Lồng Coffee,6A Trần Hưng Đạo Phường 3 Thành phố Đà Lạt Lâm Đồng 670000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNCqLwEAL72bNK2e7m2fxGPwAkk-_ApPGDnbsUz=w122-h92-k-no,,11.9363459,108.44421829999999,4.7,1125,+84 97 432 42 43,Lâm đồng,Đà lạt,https://nha-long-green-house.business.site/,ChIJAasYgEATcTERB7rxd1bvPDc
coffee,Xuân Hương Garden Coffee,01 Đ. Trần Quốc Toản Phường 1 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNABZHdGKdqZB3AZwoEHTLcJRMEa0aayRJqBZC2=w122-h92-k-no,,11.943674999999999,108.44963829999999,4.2,1347,+84 98 650 40 60,Lâm đồng,Đà lạt,https://www.facebook.com/xuanhuongcoffeedalat/,ChIJ67EakiETcTERwT4S0DjwAe0
coffee,Beba The Coffee Van,Bãi đậu xe ven hồ Đ. Trần Quốc Toản Xuân Hương Thành phố Đà Lạt Lâm Đồng 670000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNaRGFa8UpzUlET5wtq2gP0vUm5GTet5s3_VxzH=w80-h106-k-no,,11.943086,108.4461922,4.8,38,+84 869 672 904,Lâm đồng,Đà lạt,http://instagram.com/beba.thecoffeevan,ChIJrZPpd6ATcTERcBiVg9ypYoc
coffee,GoAllDay Coffee,Đ. Nguyễn Chí Thanh Phường 1 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipM_t4vnaeQ87T3Zvy5s3RSleq-wzlRk9YOzULNI=w122-h92-k-no,,11.942432199999999,108.4360092,,,+84 91 154 49 50,Lâm đồng,Đà lạt,https://www.facebook.com/profile.php?id=100076548246178&mibextid=LQQJ4d,ChIJJWR5LT8TcTER2GLsI_IS-I8
coffee,Khói Coffee,130 Lý Nam Đế Phường 8 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipOLr8XkS_3WT8iFlonwcldVPZt7z1AvTIELJryX=w80-h100-k-no,,11.9637392,108.4424272,,,+84 849 661 189,Lâm đồng,Đà lạt,,ChIJGe7dAu4TcTERuhfcPQb99Fc
coffee,Windmills Coffee,133 Phan Đình Phùng Phường 2 Tp. Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNCxMZ5fSVFsh-UiaIZyH_XOIH52ZczWNB62JrI=w80-h106-k-no,,11.9449475,108.4345645,4.4,623,+84 828 713 102,Lâm đồng,Đà lạt,,ChIJf5T_QykTcTERO2HRav1iGgw
coffee,Coffee,232 Đ. Bùi Thị Xuân Phường 2 Thành phố Đà Lạt Lâm Đồng Việt Nam,,,11.9521006,108.4394416,,,,Lâm đồng,Đà lạt,,ChIJH5E8ftcScTERP3L4L1VTaHQ
coffee,cloud9 coffee đà lạt,28 Ba Tháng Hai Phường 1 Thành phố Đà Lạt Lâm Đồng Việt Nam,,,11.9428711,108.43501979999999,,,,Lâm đồng,Đà lạt,,ChIJnWqN68MTcTER_aU88uMKmmc
coffee,Caliente Coffee,14 Đường Phù Đổng Thiên Vương Phường 8 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNJ_Jts4H_sxvAiP1nB1Ryhh9-VC1DgNVLEdiQ3=w80-h106-k-no,,11.9561225,108.4417321,5,7,+84 93 359 00 68,Lâm đồng,Đà lạt,,ChIJD2BxansTcTER5NEcnsc58RE
coffee,MAP Coffee,D10 Đường Bà Triệu Phường 4 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNOazXhB6eNV3JaxWfdLWjpcuJjOSP9l5_GMpl8=w135-h92-k-no,,11.9377999,108.43273669999999,4.6,14,+84 93 302 19 21,Lâm đồng,Đà lạt,,ChIJqZ5pEDITcTERBLQZotm2-k0
coffee,Cafe An - an coffee,272 Đường Hai Bà Trưng Phường 6 Thành phố Đà Lạt Lâm Đồng 670000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipO4Vqdu8haoB84wmz-4McOUorqGDk8MdLLV7OlC=w80-h94-k-no,,11.9500426,108.43258619999999,4.4,239,+84 90 913 73 22,Lâm đồng,Đà lạt,https://www.facebook.com/ancoffeedalat/,ChIJ8xXTyBETcTERVBc1bJxk_5o
coffee,V Coffee,Lô H65 Khu quy hoạch Nguyễn Thị Nghĩa Phường 2 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipPtUQCoZ6ypA0qEEsYUvVmkID2yvoYdP8ocuwpE=w122-h92-k-no,,11.948613499999999,108.4404371,5,3,+84 91 616 60 61,Lâm đồng,Đà lạt,,ChIJn6szr6ITcTER4vtJnAaIkzc
coffee,Home Coffee,4 Cô Giang Phường 9 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipP7iyR3hEEkNncOOBx49mZNjwS8j7i0METnWlqg=w80-h142-k-no,,11.948209199999999,108.4570981,3.9,113,+84 263 3824 534,Lâm đồng,Đà lạt,,ChIJrTPj9SoTcTEREaOlzim8x6k
coffee,The Green Coffee - Nguyên Tử Lực,129 Đường Nguyên Tử Lực Phường 8 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNxyYni9t-FGlfYjlhn-bZk2ReuM-TjVAolM6QE=w80-h106-k-no,,11.9671866,108.4528362,3.8,9,+84 96 567 54 60,Lâm đồng,Đà lạt,,ChIJQ93Z6QYTcTERdAVkxpVp6Q4
coffee,Sunset Horizon Coffee,Phường 11 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipPuWCYV3aiapu3gsVRkuSroZvuBAU2W4ngINqw=w122-h92-k-no,,11.9378274,108.48399049999999,4.8,12,+84 888 821 231,Lâm đồng,Đà lạt,,ChIJiQbmJnsTcTERqsPY5aQdRzc
coffee,Coffee Vườn Nhà,Hẻm 31 Phường 3 Thành phố Đà Lạt Lâm Đồng 66000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNZOtB4-tYaVFZc3ruiSiUre1UJ8JE5WMcmTKY=w80-h106-k-no,,11.9192781,108.45018759999999,5,28,+84 263 3988 407,Lâm đồng,Đà lạt,,ChIJrWD9jqkTcTERe0YeHyE7_oo
coffee,Mến Coffee,27 Yersin Phường 10 Thành phố Đà Lạt Lâm Đồng 66000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipOxRrF41W8a0s8TsHMSvWIUqQfroCWflYiKk0U6=w92-h92-k-no,,11.943600199999999,108.4515325,4.5,32,+84 97 738 30 72,Lâm đồng,Đà lạt,https://cafedalat.net/,ChIJ5W9UecoTcTERxXZ_WxqPo-w
coffee,Khôi Coffee,66 Đ. Nguyễn Đình Chiểu Phường 9 Thành phố Đà Lạt Lâm Đồng 670000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipPd6jwye_WAF5cAZxQ6C24s7wNlASGX0P2BDu08=w122-h92-k-no,,11.9505737,108.46138119999999,5,1,+84 97 323 78 81,Lâm đồng,Đà lạt,,ChIJaZGyzeYTcTER5HCcF0DPA5g
coffee,Tuấn Coffee Shop,143 Đường Hai Bà Trưng Phường 6 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipObJut9MtNHN_jTlC4fgubj2m6r_6zWfqz2bRgl=w122-h92-k-no,,11.9459805,108.43337419999999,4.7,3,+84 91 409 92 79,Lâm đồng,Đà lạt,https://www.foody.vn/lam-dong/tuan-coffee,ChIJq01M2CsTcTERY6S-OhpMijs
coffee,VOIDO COFFEE (Quang Trung),42 Quang Trung Phường 9 Thành phố Đà Lạt Lâm Đồng Việt Nam,,,11.947253499999999,108.45942339999999,,,+84 879 266 431,Lâm đồng,Đà lạt,https://voido.coffee/,ChIJO8qs3IkTcTER8HLCYJLnxT8
coffee,Roly Poly - Coffee & BBQ,18/2 Đường Khởi Nghĩa Bắc Sơn Phường 10 Thành phố Đà Lạt Lâm Đồng 66000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipO102uraBDgIpp5hRDAssPIabIC2P0X7gNKoc83=w80-h106-k-no,,11.934650699999999,108.4506966,4.6,102,+84 333 092 568,Lâm đồng,Đà lạt,https://www.facebook.com/rolypolydalat,ChIJsQUxXz0TcTERbeX_3UDYswY
coffee,Windmills coffee Bùi Thị xuân,185a Đường Bùi Thị Xuân Phường 2 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNxbAEihLvKmQ4xwJWjdMFGMKpDSO3Cy3xgRBnT=w163-h92-k-no,,11.9493622,108.4386511,4.6,216,+84 93 244 94 40,Lâm đồng,Đà lạt,https://www.foody.vn/lam-dong/windmills-nha-9-canh,ChIJzWY2HC8TcTER8ByqspVpcHc
coffee,Calm coffee,4 Đường Triệu Việt Vương Phường 4 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipPWmILDzT_GbIv_61cIqN6YHmfllw2uaMXYqq_e=w122-h92-k-no,,11.9309558,108.4314651,5,2,+84 263 3570 570,Lâm đồng,Đà lạt,,ChIJKToD2TsTcTER89wNEIZ4Oug
coffee,Gió Coffee,76 Đường Trần Quang Khải Phường 8 Thành phố Đà Lạt Lâm Đồng 67000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipOAjlVpiwNBs39LJFHgprmpUzzoWQpUTp6Hghkm=w80-h106-k-no,,11.969859099999999,108.4453659,4.7,3,+84 838 880 116,Lâm đồng,Đà lạt,https://m.facebook.com/giocoffee/,ChIJd_zca84TcTERNCWtQfqEZ5Y
coffee,Green Box Coffee,85 Xô Viết Nghệ Tĩnh Phường 7 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipMblefS5RebXxO5NhSkjacxp2dDWNAC91pR5CBK=w80-h106-k-no,,11.9640313,108.43114109999999,4.5,422,+84 353 317 362,Lâm đồng,Đà lạt,http://www.facebook.com/greenboxdlvn,ChIJlRwRldEScTERtwMmI2P-gV4
coffee,Milano coffee,201 Đường Phù Đổng Thiên Vương Phường 8 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipOFK-Swx71tU-XvXyjOizWlOgklsv9MBmOO-s8Y=w80-h106-k-no,,11.968653699999999,108.4455749,3.9,87,,Lâm đồng,Đà lạt,,ChIJT7VyJsQScTERVAZQMIk4r94
coffee,Mộc Anh Châu coffee garden,48 Đường Võ Trường Toản Phường 8 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNtwfyEvjgHHf6-k2IyNMaPrhjHvWvYCT9Xk4Gn=w122-h92-k-no,,11.959488,108.44752849999999,4.6,8,+84 98 731 14 33,Lâm đồng,Đà lạt,https://www.facebook.com/mocanhchaucoffee,ChIJWxJB--ITcTERJYDRL6H0T1U
coffee,Grit Coffee,73 Phan Đình Phùng Phường 1 Thành phố Đà Lạt Lâm Đồng 10000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNT3c40VaRccUfvMHvTJCdXoS2TJOfPvdFjEpzg=w80-h142-k-no,,11.943407599999999,108.4338612,5,4,,Lâm đồng,Đà lạt,,ChIJWY1RR-wTcTERxcOKW0rfv5k
coffee,Vườn Sen (Succulents & Coffee),73 Đường Cao Bá Quát Phường 7 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipPVcpdURZLs690QkVJEsTJ8n-qiMmiCaTszQ0yz=w80-h106-k-no,,11.962434799999999,108.43195759999999,4.7,184,+84 91 944 83 63,Lâm đồng,Đà lạt,https://www.facebook.com/VuonSenCafe/,ChIJ8375_n0TcTERf_KnBIjhK4E
coffee,Take away coffee,Số 4A Hẻm Đống Đa Phường 3 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipPl5216dWHW-2I67wqoYTm0VXYjmaSxags4EGhB=w122-h92-k-no,,11.924841299999999,108.44697479999999,3,1,,Lâm đồng,Đà lạt,,ChIJBya7o7gTcTERf6M6YCFcUFM
coffee,Le J' cafe,Hẻm 51 Yersin P.10 Thành phố Đà Lạt Lâm Đồng 670000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipMCYSfugVOrUToAGVciNGK4i0fWcGnIea9ug5Yo=w80-h106-k-no,,11.9422561,108.45164869999999,4.8,72,,Lâm đồng,Đà lạt,http://lejcafe.com/,ChIJJxprLIQTcTERofArpAanDL4
coffee,Via Ny Coffee And Tea House,154 Phan Đình Phùng Phường 2 Thành phố Đà Lạt Lâm Đồng Việt Nam,,,11.947365,108.4359444,,,,Lâm đồng,Đà lạt,,ChIJL-BOsCkTcTERdv5y9erCr_M
coffee,The Green Coffee - Hai Ba Trung,334 Đường Hai Bà Trưng Phường 2 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNLcggHRr4YklbjXvUp3_zp7wk9ewP9diAoPrMe=w80-h142-k-no,,11.9530972,108.43107339999999,4.7,25,+84 90 809 11 00,Lâm đồng,Đà lạt,http://thegreencoffee.vn/,ChIJvzNuKRkTcTERLRrSBPQPo_w
coffee,Cattleya Coffee,9 Tương Phố Phường 9 Thành phố Đà Lạt Lâm Đồng 670000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipM6DI1FZt9TCnxIiN5GbCpeDHwREme52HAMFNYZ=w80-h106-k-no,,11.9470013,108.46178239999999,3.9,31,,Lâm đồng,Đà lạt,,ChIJPzM_bY0TcTERO2SztnkOazM
coffee,Highlands Coffee,1 Đường Hai Bà Trưng Phường 6 Thành phố Đà Lạt Lâm Đồng 670000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipMzWS5pUlVhLWXl-6MXbdaWNPDIea_nzJIxIw_B=w122-h92-k-no,,11.942618099999999,108.4312046,4.2,680,,Lâm đồng,Đà lạt,https://highlandscoffee.com.vn/,ChIJT8U5VGQTcTER1eL0VdkTB-w
coffee,26 Coffee,26 Nguyễn Văn Trỗi Phường 2 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipOzpdujLzl6qDYdJmq-2K7vzfHLGx5Ax9qfLdgW=w80-h106-k-no,,11.9453546,108.4356413,5,2,,Lâm đồng,Đà lạt,,ChIJ80yhFykTcTERtGLHDLFqEYI
